	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000083067	0.0760465	0.09299545572	0.3737608997	0.450362	0.0922158512	0.0851933	0.6951314172	0	0.1598391646
ENSG00000083093	8.72219294966924	6.91521574235	7.28312	5.788431	6.3890793	6.21223	4.89079685441	4.9724026	4.423786
ENSG00000083097	4.04771	5.35545800050973	5.590748179	3.71978	2.7259366	6.825343	10.73472	2.666977	7.209991
ENSG00000083099	34.72568	35.502135	33.048411	34.58693	39.490877	32.74342	31.613393	27.587013	39.656592
ENSG00000083123	18.44255	15.84845	19.3733	19.47544	21.25499	16.29426	17.86047	16.75717	15.3034396
ENSG00000083168	12.00487	12.6133631	12.4175419	12.1387459	11.470447	10.0049943	11.703848	10.02283	9.627751
ENSG00000083223	9.921719	9.119285	8.58865	9.524569	11.270426	7.065831	6.62992	9.825115	6.749322
ENSG00000083290	14.33896	12.82264	24.13278104	17.43929	18.42753	21.3267924	14.00675	20.36049	13.50832
ENSG00000083307	0	0	0	0	0	0	0	0	0
ENSG00000083312	62.866709	82.324797	69.488437	70.143033	68.0411627	68.5951163	66.563581	73.8290852	66.8359279197
ENSG00000083444	235.360831	246.651388	241.507136	245.533674	242.79774	266.877553	248.854027	250.614737	240.597457
ENSG00000083454	9.005274	9.379394	6.6342546396565	11.232311	10.185801	9.18959	10.265158	6.450643265	9.850632
ENSG00000083457	47.2639515	59.94574	71.5203076	51.83871	52.079002	56.0537491	47.4173473	51.7544285	55.310088
ENSG00000083520	27.07975	25.84714	28.11302	28.02202	27.45496	24.34203	26.53667	25.42718	24.76635
ENSG00000083535	12.01639	7.01939	7.657984	5.46159	7.011024	3.55027	4.69819	7.16482420387	4.3505
ENSG00000083544	4.990333023	6.521499	6.928825	5.744737	6.970248	5.048985	5.379931	4.888913	5.991715121
ENSG00000083635	5.95676	5.44747	5.07189	5.10951	7.7733	6.38607	5.75815	5.2705	5.56273
ENSG00000083642	17.53454	16.9995432	11.088907	12.396467	12.22995	8.94312	13.33187	14.86803	13.595213
ENSG00000083720	20.36886	16.516876	17.747808	21.40292	18.724069	19.03308	16.02671	16.700894	15.9715694
ENSG00000083750	17.112301	10.10038	9.867626	20.50758	22.69829	18.738151	15.890041	21.38366	12.21881
ENSG00000083782	0	0	0	0	0	0	0	0	0
ENSG00000083799	18.3239860168548	17.92776752	19.552573	18.27954698	17.035441	18.420267	19.34821	19.908884339297	21.557047
ENSG00000083807	5.1689512	4.1243707	4.994373	8.8517588	5.350926778	5.481367	11.1880504	4.2625105	8.5171745
ENSG00000083812	4.955217	4.270493	5.18159	4.97488	6.621505	5.319102	5.64675	6.989501	6.321397
ENSG00000083814	2.8513838671	2.962814	3.559693	6.120111	3.582065	3.11651	3.25781	4.180124	3.743652
ENSG00000083817	2.10271	3.73997	1.97697	3.95635	3.14258	2.84248	2.79652	2.52082	2.5864
ENSG00000083828	3.554498	5.217492	5.34547	4.3867930462	8.121862	4.758621	6.843056	3.901554	5.971019
ENSG00000083838	6.620547	6.66788644	6.823447	5.944755	6.538718	8.3409335	8.72094	6.243752	6.121955
ENSG00000083844	7.39389	12.96194	6.54364	9.16113	6.69365	12.3381	9.255297	12.753103	10.72141
ENSG00000083845	1478.12716	1455.949377	1496.030903	1488.195164	1501.143854	1455.227529	1403.027573	1525.967728	1497.525422
ENSG00000083857	146.14183	217.86232	139.6125	178.76684	117.59033	138.57163	172.52426	169.31557	130.494268
ENSG00000083896	23.76096	20.046382	25.352368	25.380021	21.650674	26.081145	25.957257	25.087842	23.211695
ENSG00000083937	27.3799357	25.855142	27.5747355	29.799207	26.132931	29.840734	24.9655384	28.0047973	23.4199753
ENSG00000084070	14.04304197918	15.65164	14.1789	13.88066	14.5114	15.039	14.11008	14.474297	14.118298
ENSG00000084072	54.794543	37.708259	47.6501	48.824257	57.343503	50.954657	41.270263	46.342716	45.53993
ENSG00000084073	47.29729	45.15808	42.50974	41.1149	38.687869	35.22617	39.668604	43.42632	38.116771
ENSG00000084090	72.29556	59.83966	72.660904	63.125257	64.96534	67.775163	67.679664	63.174007	61.30351
ENSG00000084092	26.0408	27.2643	26.4288	26.7824	24.0782	27.6468	22.8875	26.6573	25.8821
ENSG00000084093	23.50441	19.830097	23.876385	20.8544158	20.590486	20.2600600071256	19.599119	18.294638	17.096164
ENSG00000084110	0	0	0	0	0	0	0.247869	0.530952	0.0656740288283
ENSG00000084112	34.71853	43.49742	33.34388	33.2976	27.09708	34.16037	35.605623	39.589242	34.64833
ENSG00000084207	2548.759869	2699.64652	2672.100861	2724.85295	2669.05783	2586.41724	2727.54329	2678.67886	2647.80025
ENSG00000084234	425.960534	406.8154817349	446.946056939	439.547499742	431.0304286	436.492477	421.35352143	440.30813062	428.831465486
ENSG00000084444	3.117025	2.331689	2.98613	3.09606	2.377772	2.863107	2.67387	2.62922	2.985198
ENSG00000084453	1.10879	0.286524	0	0.2359251	0	0.0394646	0.353273	0.8977783	0.0342525
ENSG00000084463	35.34274	33.78866	31.35405	32.28471	34.14965	33.79114	28.80815	33.85761	30.36179
ENSG00000084623	288.859122	296.851174	322.366465	291.258789390495	311.929031	328.7178433	310.609643	303.764238225795	323.66738238102
ENSG00000084628	1.108789	0.309795	2.91105	1.797123	0.102258	0.879445	0.331865	0.281761	0.0886735
ENSG00000084636	2.634542	16.065988	5.33934	6.616453	5.591894	5.52457	8.073228	4.943686	7.240347
ENSG00000084652	43.598	43.2574	39.4261	39.7942	39.5253	41.7617	42.608	42.7714	38.9279
ENSG00000084674	0	0	0	0	0	0	0	0	0
ENSG00000084676	5.5746500174791	6.89578	5.444863	5.480899	5.8506305	5.851217	4.409409	6.068138	3.70141
ENSG00000084693	30.518871	26.294699	24.7880961301	26.194031	26.260184	27.95691	30.210487	31.31111	30.035261
ENSG00000084710	0.882438	1.778743	1.098325	1.6324631	0.951191	1.2590431	1.374962619	1.4618489	0.682318
ENSG00000084731	36.49078	33.66047	44.98373	45.41267	30.85409256851	37.652	41.391679	40.444824	31.452667
ENSG00000084733	108.08837	126.4914	117.415	128.335	123.257	123.35554	122.2972	125.29069	115.95563
ENSG00000084734	0	1.666711	1.233106	0.514204	0.904659	0.420942	0.979898	0.260228	0.229724
